rank,player,shots,actual_goals,xg_sum,sb_xg_sum,xg_per_shot,actual_conversion,goals_above_xg,goals_above_xg_se
499,Germán Gustavo Denis,23,3,3.3481211022394084,3.212569213,0.14557048270606124,0.13043478260869565,-0.3481211022394084,1.6913703016276678
500,Fabio Borini,48,4,4.350646989369178,4.03850341,0.09063847894519121,0.08333333333333333,-0.35064698936917793,1.9890477530278856
501,Khalid Boutaïb,56,6,6.35287064109725,6.527254888,0.11344411859102232,0.10714285714285714,-0.3528706410972502,2.3732203502193365
502,Mirko Gori,23,0,0.35584538439479246,0.4461150453,0.015471538451947498,0.0,-0.35584538439479246,0.5918951840040434
503,Aniket Anil Jadhav,37,2,2.3624336881732706,2.4009920255,0.06384955913981813,0.05405405405405406,-0.3624336881732706,1.487142675968366
504,Jimmy Briand,64,7,7.3683676778208325,7.166327537,0.11513074496595051,0.109375,-0.36836767782083246,2.553437294685399
505,Robert Gucher,21,0,0.3704656645436906,0.3840025169,0.017641222121128126,0.0,-0.3704656645436906,0.6032662741006032
506,Rahim Ali,20,2,2.3738977525040506,2.140533925,0.11869488762520253,0.1,-0.37389775250405055,1.4464191043874046
507,Xabier Prieto Argarate,25,3,3.3754798310278757,2.571768638,0.13501919324111503,0.12,-0.37547983102787574,1.7087203596378304
508,Fabián Ruiz Peña,44,4,4.3757682572407255,3.229415233,0.09944927857365285,0.09090909090909091,-0.3757682572407255,1.9850947737709264
509,Emiliano Sala,60,6,6.380236232910136,5.2658532245,0.10633727054850226,0.1,-0.38023623291013564,2.387839887104622
510,Rémy Cabella,51,5,5.383716947022926,4.97525776,0.10556307739260638,0.09803921568627451,-0.3837169470229256,2.194400879120417
511,Jorge Resurrección Merodio,62,5,5.386566698065187,4.6264802821,0.08688010803330946,0.08064516129032258,-0.3865666980651872,2.2177874563196216
512,Christophe Jallet,20,1,1.3906942777256677,1.5275672359999999,0.06953471388628338,0.05,-0.39069427772566767,1.137538020912146
513,Álvaro Cejudo Carmona,44,1,1.392503961925748,1.6843028645,0.03164781731649427,0.022727272727272728,-0.392503961925748,1.1612210172599475
514,Luca Siligardi,46,2,2.3943779439943516,2.3494740366,0.05205169443465982,0.043478260869565216,-0.39437794399435155,1.5065677929958774
515,Jonathan Walters,33,5,5.397086542572322,5.530523288,0.16354807704764612,0.15151515151515152,-0.397086542572322,2.1247125492345758
516,Roberto José Rosales Altuve,21,0,0.40762900543355757,0.549641546,0.0194109050206456,0.0,-0.40762900543355757,0.6322314113719965
517,Amadou Diawara,20,0,0.4165559295711415,0.501150056,0.020827796478557075,0.0,-0.4165559295711415,0.6386548265284602
518,Gabriel Fernández Arenas,29,1,1.4179258679971012,0.8060514731,0.0488939954481759,0.034482758620689655,-0.4179258679971012,1.1612914393301108
519,Grejohn Kyei,20,3,3.4195714535063253,3.315982735,0.17097857267531627,0.15,-0.4195714535063253,1.6837155363138268
520,Jamal Musiala,22,3,3.422034449118702,2.100215278,0.15554702041448645,0.13636363636363635,-0.4220344491187018,1.6999256415509942
521,Devendra Dhaku Murgaokar,26,2,2.424784870166658,2.9162472074,0.09326095654487146,0.07692307692307693,-0.4247848701666581,1.4827835694258902
522,Patrick Vieira,20,3,3.4338688623203653,3.469171674,0.17169344311601825,0.15,-0.43386886232036526,1.68650410439456
523,Daniel García Carrillo,21,0,0.4350731479908125,0.555288616,0.020717768951943452,0.0,-0.4350731479908125,0.6527322598382465
524,Stephan El Shaarawy,74,8,8.443002671570653,7.9640683539,0.11409463069690072,0.10810810810810811,-0.4430026715706532,2.734904276164863
525,Alex Oxlade-Chamberlain,23,1,1.4569914083586037,1.4757364623,0.0633474525373306,0.043478260869565216,-0.45699140835860375,1.1682014870176758
526,Giovanni van Bronckhorst,21,0,0.4660684226222996,0.5417471653,0.022193734410585694,0.0,-0.4660684226222996,0.6750737913987327
527,José Antonio García Rabasco,25,1,1.467649174670225,1.2006213037,0.058705966986808994,0.04,-0.46764917467022493,1.175367776771942
528,Théo Bongonda Mbul''Ofeko Batombo,20,2,2.4692036763086067,2.464604278,0.12346018381543034,0.1,-0.4692036763086067,1.471174815089563
529,Darren Fletcher,23,1,1.4713098053141695,1.839551207,0.06396999153539867,0.043478260869565216,-0.47130980531416955,1.1735374427440621
530,Thiago Emiliano da Silva,24,2,2.4735457908596166,3.112757752,0.10306440795248402,0.08333333333333333,-0.47354579085961657,1.4895003384965413
531,Robert Huth,30,3,3.4766132432311956,2.599811442,0.11588710810770651,0.1,-0.4766132432311956,1.753202380920177
532,Sunil Chhetri,31,4,4.490749849296949,5.251406327,0.1448628983644177,0.12903225806451613,-0.4907498492969493,1.9596445622352594
533,Luis Alberto Romero Alconchel,80,6,6.492084839949063,6.6015849091,0.0811510604993633,0.075,-0.4920848399490634,2.442385160112008
534,Ryad Boudebouz,56,2,2.4940113269309885,2.4483445999,0.04453591655233908,0.03571428571428571,-0.4940113269309885,1.543676859512444
535,Alex Iwobi,26,2,2.498361108148596,2.241301298,0.09609081185186907,0.07692307692307693,-0.4983611081485959,1.5027613120410912
536,James Ward-Prowse,28,1,1.502775272124595,1.4829223095,0.05367054543302125,0.03571428571428571,-0.502775272124595,1.1925269404111636
537,João Félix Sequeira,22,1,1.5029573192915069,1.331575456,0.06831624178597759,0.045454545454545456,-0.5029573192915069,1.1833346625839976
538,Beñat Etxebarria Urkiaga,35,1,1.5029680982928888,1.4567531209,0.04294194566551111,0.02857142857142857,-0.5029680982928888,1.1993447060286708
